port,service,description,tcp,udp,other
368,qbikgdp,QbikGDP,True,,
368,qbikgdp,QbikGDP,,True,
369,rpc2portmap,rpc2portmap,True,,
369,rpc2portmap,rpc2portmap,,True,
370,codaauth2,codaauth2,True,,
370,codaauth2,codaauth2,,True,
371,clearcase,Clearcase,True,,
371,clearcase,Clearcase,,True,
372,ulistproc,ListProcessor,True,,
372,ulistproc,ListProcessor,,True,
373,legent-1,Legent Corporation,True,,
373,legent-1,Legent Corporation,,True,
374,legent-2,Legent Corporation,True,,
374,legent-2,Legent Corporation,,True,
375,hassle,Hassle,True,,
375,hassle,Hassle,,True,
376,nip,Amiga Envoy Network Inquiry Protocol,True,,
376,nip,Amiga Envoy Network Inquiry Protocol,,True,
377,tnETOS,NEC Corporation,True,,
377,tnETOS,NEC Corporation,,True,
378,dsETOS,NEC Corporation,True,,
378,dsETOS,NEC Corporation,,True,
379,is99c,TIA/EIA/IS-99 modem client,True,,
379,is99c,TIA/EIA/IS-99 modem client,,True,
380,is99s,TIA/EIA/IS-99 modem server,True,,
380,is99s,TIA/EIA/IS-99 modem server,,True,
381,hp-collector,hp performance data collector,True,,
381,hp-collector,hp performance data collector,,True,
382,hp-managed-node,hp performance data managed node,True,,
382,hp-managed-node,hp performance data managed node,,True,
383,hp-alarm-mgr,hp performance data alarm manager,True,,
383,hp-alarm-mgr,hp performance data alarm manager,,True,
384,arns,A Remote Network Server System,True,,
384,arns,A Remote Network Server System,,True,
385,ibm-app,IBM Application,True,,
385,ibm-app,IBM Application,,True,
386,asa,ASA Message Router Object Def.,True,,
386,asa,ASA Message Router Object Def.,,True,
387,aurp,Appletalk Update-Based Routing Pro.,True,,
387,aurp,Appletalk Update-Based Routing Pro.,,True,
388,unidata-ldm,Unidata LDM,True,,
388,unidata-ldm,Unidata LDM,,True,
389,ldap,Lightweight Directory Access Protocol,True,,
389,ldap,Lightweight Directory Access Protocol,,True,
390,uis,UIS,True,,
390,uis,UIS,,True,
391,synotics-relay,SynOptics SNMP Relay Port,True,,
391,synotics-relay,SynOptics SNMP Relay Port,,True,
392,synotics-broker,SynOptics Port Broker Port,True,,
392,synotics-broker,SynOptics Port Broker Port,,True,
393,meta5,Meta5,True,,
393,meta5,Meta5,,True,
394,embl-ndt,EMBL Nucleic Data Transfer,True,,
394,embl-ndt,EMBL Nucleic Data Transfer,,True,
395,netcp,NetScout Control Protocol,True,,
395,netcp,NetScout Control Protocol,,True,
396,netware-ip,Novell Netware over IP,True,,
396,netware-ip,Novell Netware over IP,,True,
397,mptn,Multi Protocol Trans. Net.,True,,
397,mptn,Multi Protocol Trans. Net.,,True,
398,kryptolan,Kryptolan,True,,
398,kryptolan,Kryptolan,,True,
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over TCP,True,,
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over UDP,,True,
400,osb-sd,Oracle Secure Backup,True,,
400,osb-sd,Oracle Secure Backup,,True,
401,ups,Uninterruptible Power Supply,True,,
401,ups,Uninterruptible Power Supply,,True,
402,genie,Genie Protocol,True,,
402,genie,Genie Protocol,,True,
403,decap,decap,True,,
403,decap,decap,,True,
404,nced,nced,True,,
404,nced,nced,,True,
